Name,Brand,Description,Category,Rating,Image_URL,Tags
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",TRIGGR,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D... wireless earbuds with premium sound and deep bass.",Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/q/y/i/-original-imah4gr9ynyg9aed.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",TRIGGR,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/v/p/3/-original-imah8bfrrurageu2.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
TECHIO Earbuds Bluetooth,TECHIO,TECHIO Earbuds Bluetooth wireless earbuds with premium sound and deep bass.,Earbuds,3.5,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/b/e/u/earbuds-techio-original-imahfggh3cscdnck.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
Hectic Black Earbuds With Premium Quality Sound Bluetoo...,Hectic,Hectic Black Earbuds With Premium Quality Sound Bluetoo... wireless earbuds with premium sound and deep bass.,Earbuds,3.6,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/j/4/y/black-earbuds-with-premium-quality-sound-hectic-original-imahdmngx2vamnkg.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
TECHIO TWS black Earbud Bluetooth,TECHIO,TECHIO TWS black Earbud Bluetooth wireless earbuds with premium sound and deep bass.,Earbuds,3.5,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/b/p/a/tws-airpod-black-earbud-riva-original-imahggtvpvc53wbx.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"GOBOULT Mustang Dyno with 60 Hrs Battery, Dual Pairing,...",GOBOULT,"GOBOULT Mustang Dyno with 60 Hrs Battery, Dual Pairing,... wireless earbuds with premium sound and deep bass.",Earbuds,4.2,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/g/j/a/-original-imahe5gm62hddzzg.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"OnePlus Nord Buds 3r TWS Earbud, 10min charge for 8hr M...",OnePlus,"OnePlus Nord Buds 3r TWS Earbud, 10min charge for 8hr M... wireless earbuds with premium sound and deep bass.",Earbuds,4.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/7/n/o/-original-imahfsg7chmgrugu.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
TodayAndCo Ultra with Deep Bass & Mic_HCAUDHP308 Blueto...,TodayAndCo,TodayAndCo Ultra with Deep Bass & Mic_HCAUDHP308 Blueto... wireless earbuds with premium sound and deep bass.,Earbuds,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-headphone/8/h/9/bluetooth-yes-ancn76-tunewhirl-original-imahf4z4xfxajzsn.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"truke Crystal Bass earbuds with 13mm Drivers, Made in I...",truke,"truke Crystal Bass earbuds with 13mm Drivers, Made in I... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/e/v/f/-original-imahbzmfcrpac9xr.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,myxes,myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ... wireless earbuds with premium sound and deep bass.,Earbuds,3.6,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/3/c/f/new-edition-tws-m19-gaming-earbuds-bluetooth-5-0-wireless-led-original-imah96zwnpzh4gu7.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"GOBOULT W20 with ENC Mic, 40Hrs Battery Life, Low Laten...",GOBOULT,"GOBOULT W20 with ENC Mic, 40Hrs Battery Life, Low Laten... wireless earbuds with premium sound and deep bass.",Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/v/d/e/-original-imaheh3g25xmqy6v.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",Aroma,"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,... wireless earbuds with premium sound and deep bass.",Earbuds,3.8,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/1/s/q/nb126-berry-v5-4-upto-60hr-playtime-dual-paring-fast-charging-original-imahh48j4vzgfg6j.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"truke Buds Elite with 10mm Driver, 70Hrs Battery, Volum...",truke,"truke Buds Elite with 10mm Driver, 70Hrs Battery, Volum... wireless earbuds with premium sound and deep bass.",Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/m/v/s/-original-imahbh24bxnrntd6.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
SACRO M90 Bluetooth Wireless Earbuds With Slide Design ...,SACRO,SACRO M90 Bluetooth Wireless Earbuds With Slide Design ... wireless earbuds with premium sound and deep bass.,Earbuds,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-headphone/q/n/j/bluetooth-yes-m90-bluetooth-wireless-earbuds-with-slide-design-original-imahdjh6gbxzxfp4.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"truke Airbuds Lite with Quad Mic ENC, 48Hrs Battery, Ga...",truke,"truke Airbuds Lite with Quad Mic ENC, 48Hrs Battery, Ga... wireless earbuds with premium sound and deep bass.",Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/kwxv98w0/headphone/s/c/j/-original-imag9hxj7qmmyqmh.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"ORAIMO FreePods Lite Earbuds with 40Hr Playtime,Custom ...",ORAIMO,"ORAIMO FreePods Lite Earbuds with 40Hr Playtime,Custom ... wireless earbuds with premium sound and deep bass.",Earbuds,3.8,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/1/n/j/-original-imagtg3gtccurhsd.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"GOBOULT W45 with 50Hrs Battery, 4 Mic ENC, Pocketable d...",GOBOULT,"GOBOULT W45 with 50Hrs Battery, 4 Mic ENC, Pocketable d... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/r/l/k/-original-imahexampyqa8qgg.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"GOBOULT W35 with 48 Hrs Battery Life,4 Mic ENC, Wavy Sh...",GOBOULT,"GOBOULT W35 with 48 Hrs Battery Life,4 Mic ENC, Wavy Sh... wireless earbuds with premium sound and deep bass.",Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/o/9/6/-original-imahgzmynp2k7hyc.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
FRONY M19 Bluetooth Wireless Earbuds Large Dual LED Dis...,FRONY,FRONY M19 Bluetooth Wireless Earbuds Large Dual LED Dis... wireless earbuds with premium sound and deep bass.,Earbuds,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/h/r/m19-bluetooth-wireless-earbuds-large-dual-led-display-with-high-original-imahczhmfzwyrzsa.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
BULLSTORM BS ultrapood Bluetooth Gaming,BULLSTORM,BULLSTORM BS ultrapood Bluetooth Gaming wireless earbuds with premium sound and deep bass.,Earbuds,3.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/r/9/bs-ultrapood-bullstorm-original-imahcus46hzumv9a.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"TRIGGR Apex S2 with Dual Pairing, 60H Battery, Quad Mic...",TRIGGR,"TRIGGR Apex S2 with Dual Pairing, 60H Battery, Quad Mic... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/u/r/c/-original-imahfvv6zthdygmy.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",TRIGGR,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ... wireless earbuds with premium sound and deep bass.",Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/o/q/-original-imahfvv6gmzy5fy4.jpeg?q=70,"earbuds, bluetooth, wireless, flipkart, audio, electronics"
