Product Name,Brand,Description,Category,Rating,Image URL
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,Samsung,"Intel Core i5 Processor (13th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories",Laptop,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/n/h/-original-imahgfdy4bszcfd4.jpeg?q=70
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,"Intel Core i3 Processor (13th Gen)
8 GB DDR4 RAM
Windows 11 Home Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year
1 Year Onsite Warranty",Laptop,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/v/-original-imahgfdffszmurd7.jpeg?q=70
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,Apple,"Apple M2 Processor
16 GB Unified Memory RAM
Mac OS Operating System
256 GB SSD
34.54 cm (13.6 Inch) Display
Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather
1 Year Limited Warranty",Laptop,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/f/y/-original-imahgfdfjcy6aghz.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
256 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty",Laptop,3.8,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,Apple,"Apple M2 Processor
16 GB Unified Memory RAM
Mac OS Operating System
256 GB SSD
34.54 cm (13.6 Inch) Display
Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather
1 Year Limited Warranty",Laptop,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/j/g/-original-imahfthtkkzyazkf.jpeg?q=70
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Samsung,"Intel Core i3 Processor (13th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",Laptop,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/3/u/-original-imahgfdfhfyjchah.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
128 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty",Laptop,3.8,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,Lenovo,"MediaTek Kompanio 520 Processor
4 GB LPDDR4X RAM
Chrome Operating System
29.46 cm (11.6 Inch) Display
1 Year Carry-in Warranty",Laptop,3.9,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/g/4/-original-imahgfdyf6grkw9r.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Acer,"Intel Celeron Dual Core Processor
8 GB LPDDR4X RAM
Windows 11 Home Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year International Travelers Warranty (ITW)",Laptop,3.9,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/x/1/a325-45-thin-and-light-laptop-acer-original-imah2tyffgnp8nmd.jpeg?q=70
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,"Intel Celeron Dual Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Home Operating System
512 GB SSD
29.46 cm (11.6 inch) Display
1 Year Warranty",Laptop,3.8,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70
