Name,Brand,Description,Category,Rating,Image_URL,Tags
"POCO C71 (Cool Blue, 128 GB)",POCO,"POCO C71 (Cool Blue, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/5/z/-original-imahawgarmg5f8ff.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",Samsung,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 Pro 5G (Lunar Dust, 128 GB)",POCO,"POCO M7 Pro 5G (Lunar Dust, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/x/-original-imah7jspd8dcxfut.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 5G (Ocean Blue, 128 GB)",POCO,"POCO M7 5G (Ocean Blue, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/s/t/-original-imah9wydbymh7gv2.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Samsung,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Samsung,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 5G - Locked with Airtel Prepaid (Satin Black, 128 GB)",POCO,"POCO M7 5G - Locked with Airtel Prepaid (Satin Black, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/g/u/-original-imahfbtfuy2vdsda.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)",OPPO,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)",Mobiles,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/a/9/-original-imahfw4vxaqmcsjp.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 5G (Mint Green, 128 GB)",POCO,"POCO M7 5G (Mint Green, 128 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/0/-original-imah9wydggh9mtxt.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 5G (Mint Green, 128 GB)",POCO,"POCO M7 5G (Mint Green, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/0/-original-imah9wydggh9mtxt.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
