Name,Brand,Description,Category,Rating,Image_URL,Tags
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",GOBOULT,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/n/5/-original-imaherxuggamz6zv.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",GOBOULT,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/j/q/o/-original-imaheeb4ctrxfymf.jpeg?q=70,"smart watch, flipkart, electronics"
"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...",Fire-Boltt,"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/8/m/-original-imahauh2drgghzgz.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,Fire-Boltt,Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/2/f/-original-imaha8kabchjfqhe.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,Fire-Boltt,Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/i/h/-original-imahaus3tjgnqpaz.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",GOBOULT,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/w/6/-original-imaheeb4qgjf4fpa.jpeg?q=70,"smart watch, flipkart, electronics"
"Noise Icon Buz 1.69"" Display with Bluetooth Calling, Bu...",Noise,"Noise Icon Buz 1.69"" Display with Bluetooth Calling, Bu...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/3/l/-original-imah2thyufannsyg.jpeg?q=70,"smart watch, flipkart, electronics"
GameSir I8 Pro Smart Watch Series 8 with multiple Featu...,GameSir,GameSir I8 Pro Smart Watch Series 8 with multiple Featu...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/q/2/39-i8-black-050-android-ios-gamesir-yes-original-imah9w25yfkbsg23.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,Fire-Boltt,Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/g/l/-original-imah95n5hwxcgghe.jpeg?q=70,"smart watch, flipkart, electronics"
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,Fastrack,Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/u/j/k/-original-imagx8ncm5ra8nmg.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift+ 1.85"" ,BT Calling, 500Nits Brightness, 1...",GOBOULT,"GOBOULT Drift+ 1.85"" ,BT Calling, 500Nits Brightness, 1...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/l/7/-original-imahf98jmrxfhxgh.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",GOBOULT,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/8/q/-original-imaheeb4jmgagpqu.jpeg?q=70,"smart watch, flipkart, electronics"
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",Noise,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/e/d/1-69-wrb-sw-std-gld-grn-android-ios-noise-yes-original-imahe6dtjavnjydx.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift+ 1.85"" ,BT Calling, 500Nits Brightness, 1...",GOBOULT,"GOBOULT Drift+ 1.85"" ,BT Calling, 500Nits Brightness, 1...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/u/p/z/-original-imahejyn9yfmsah9.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Hunter Nyluxe 51.1mm (2.01) HD Display Bueto...,Fire-Boltt,Fire-Boltt Hunter Nyluxe 51.1mm (2.01) HD Display Bueto...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/h/l/-original-imahauh2hfh7wxtt.jpeg?q=70,"smart watch, flipkart, electronics"
"Cellecor M5 PLUS 2.01"" IPS HD Display | 700 NITS | BT-C...",Cellecor,"Cellecor M5 PLUS 2.01"" IPS HD Display | 700 NITS | BT-C...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/j/y/51-054-m5-plus-android-ios-cellecor-yes-original-imahasdbdrgw5hka.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift+ 1.85"" ,BT Calling, 500Nits Brightness, 1...",GOBOULT,"GOBOULT Drift+ 1.85"" ,BT Calling, 500Nits Brightness, 1...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/g/k/-original-imahf98j6ea4gkrf.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",GOBOULT,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/v/m/-original-imaheeb4prbjrj4r.jpeg?q=70,"smart watch, flipkart, electronics"
Fastrack Revolt FS1+ 2.01inch Biggest UltraVU Display|I...,Fastrack,Fastrack Revolt FS1+ 2.01inch Biggest UltraVU Display|I...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/s/p/-original-imahfmpuzzq4yt8m.jpeg?q=70,"smart watch, flipkart, electronics"
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,Fastrack,Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/1/j/-original-imah5hztwc84veub.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Crown R Pro 2 1.43''HD AMOLED, BT Calling, Zinc...",GOBOULT,"GOBOULT Crown R Pro 2 1.43''HD AMOLED, BT Calling, Zinc...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/y/w/-original-imahejyngwh3myzg.jpeg?q=70,"smart watch, flipkart, electronics"
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,Noise,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/i/u/-original-imah76jt64ffmwg4.jpeg?q=70,"smart watch, flipkart, electronics"
